0 86648 __
86648 89637 %k_w
89637 91045 wi
91045 93704 __
93704 97341 <eeh!>
97341 98779 p
98779 100183 E
100183 100776 n
100776 102792 ts
102792 106223 !u!a
106223 106732 D
106732 107365 i
107365 108470 f
108470 109569 f
109569 111435 E
111435 111794 n
111794 113489 ts
113489 113920 *a
113920 114636 s
114636 115433 !i!a
115433 116088 l
116088 117472 a
117472 118515 G
118515 119266 r\
119266 121046 a
121046 122594 n
122594 124016 d
124016 126246 e
126246 128512 t
128512 130714 ts
130714 132377 a
132377 134354 p
134354 137289 O!i
137289 137981 n
137981 139659 !i
139659 142913 o
142913 143952 n
143952 146181 t
146181 149095 O
149095 150221 r
150221 152145 n
152145 155163 !i
155163 161004 <eeh>
161004 167052 _
167052 168319 n
168319 170194 p
170194 172343 E
172343 173275 n
173275 173939 z
173939 174411 *o
174411 175894 z
175894 176680 i
176680 178168 s
178168 179414 i
179414 180500 p_f_v
180500 182671 o
182671 184109 s
184109 185638 s
185638 190208 a!o
190208 190994 n
190994 192258 o
192258 193773 n
193773 194611 tS
194611 198178 E!u
198178 199140 n
199140 200496 tS
